sample_id,redcap_repeat_instrument,redcap_repeat_instance,sample_labid,sample_sequenceid,sample_batchid,apha_sub,apha_rv,sample_tissuetype,sample_buffer,country,hmpcr_n405,rtassay,rtqpcr,lateral_flow_test,diagnostic_result,test_centre,diag_notes,ngs_runid,duplicate_id,ngs_rundate,ngs_location,ngs_provider,ngs_submission,ngs_platform,nanopore_platform,ngs_flowcell,illumina_platform,ngs_prep,ngs_barcode,ngs_library,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,genbank_accession,consensus_coverage,ngs_notes
14,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-30,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-40,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-104,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-171,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-203,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-40,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-98,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-126,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-29,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-310,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-35,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-412,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-421,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-423,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-528,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21622,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-114,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-13,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-15,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-16,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-17,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-20,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-21,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-28,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-30,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-31,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-35,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-37,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-39,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-40,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-41,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-42,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-44,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-45,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-01,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-02,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-03,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-04,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-05,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-06,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-07,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-11,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-12,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-13,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-15,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-16,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-17,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-19,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-2422,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-2922HM,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-2922JG,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-98-134,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-98-206,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-98-285,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-98-286,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-98-335,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR-22-018,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR-22-020,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COW,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOAT,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23-011-Sk_10,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23-011Sa_10,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23-011Sa_11,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23-011Sa_12,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23-011Sk12,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H22-01,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW.10,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW.11,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW.12,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW2,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW3,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW4,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW4.3,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW5,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW_1_R6,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW_2_R6,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW_r6_1,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW_r6_2,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC1,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC2,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC3,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC4,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC5,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1-21-148,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R10-688,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R10-711,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R10-714,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R10-824,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R10-856,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R10-907,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R10-920,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R10-989,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R10-990,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R11-21-57,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R11-21-61,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R11-21-63,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R11-22-001,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R11-22-002,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2-081,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2-22-5302,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2-22-5814,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2-22-84711,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2-22-8924,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3-0483,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3-21-0467,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3-731,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-22-09,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-21-115,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-21-119,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-21-128,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-21-132,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-21-136,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-21-140,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-22-008,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6-21-4343,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6-21-4375,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6-21-4511,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6-21-4600,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6-4342,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6-4568,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7-21-149,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7-21-161,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9-010,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9-074,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9-089,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9-105,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADDL1-16-153,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADDL1-16-166,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADDL3-1045,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADDL3-15-172,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADDL3-16-1008,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADDL3-16-468,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADDL3-16-521,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADDL3-16-627,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADDL3-845,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADDL5-005,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-04-421,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-04-664,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-05-102,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-05-191,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-05-557,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-05-96,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-06-150,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-06-295,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-06-39,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-07-07,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-07-22,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-07-222,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-07-351,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-07-366,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-07-38,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-07-387,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-07-398,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-07-403,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-07-407,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-08-351,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-08-359,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-09-94,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-12-012,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-12-029,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-12-034,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-12-060,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-12-149,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-12-208,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-020,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-032,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-036,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-037,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-065,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-066,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-066,diagnostic,2,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-071,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-073,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-081,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-086,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-089,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-094,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-096,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-098,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-134,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-135,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-161,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-171,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-184,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-204,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-216,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-234,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-13-259,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-14-023,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-14-033,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-14-05,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-14-058,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-14-098,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-14-101,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-14-106,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-14-126,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-14-136,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-14-136,diagnostic,2,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-14-142,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-14-182,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-14-243,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-15-001,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-15-009,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-15-163,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-16-082,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-16-150,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-16-151,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-16-151,diagnostic,2,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-16-196,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-16-209,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-16-210,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-16-211,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
