Isolate ID ,year,brgy,municipality,province,region,latitude,longitude,species,Maddog_reference,lineage1,lineage2,lineage3,lineage4,date
153,2018,Paulog,Ligao City,Albay,Bicol Region,13.18230598,123.4944229,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,17-May-18
4A-22-104,2022,Sabang,Lipa City,Batangas,Calabarzon,13.94086577,121.1746864,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,25-Jan-22
4A-22-171,2022,Buenavista,General Trias,Cavite,Calabarzon,14.32966619,120.8999068,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_C1,Asian SEA4_C1,Asian SEA4_C1.1,6-Feb-22
4A-22-203,2022,Guiang-Guiang,Lucena ,Quezon,Calabarzon,13.93834754,121.6153593,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,11-Feb-22
4A-22-40,2022,-,Batangas  City,Batangas,Calabarzon,13.7207195,121.103796,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_B1.1,Asian SEA4_B1.1,Asian SEA4_B1.1.1,10-Jan-22
4A-22-98,2022,Baguio,Tayabas City,Quezon,Calabarzon,14.04055469,121.6122459,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_B1.1,Asian SEA4_B1.1,Asian SEA4_B1.1.1,22-Jan-22
4B-21-126,2021,Sapul,Calapan City,Oriental Mindoro,Southwestern Tagalog Region ,13.33178512,121.1780294,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,26-Jan-21
4B-21-29,2021,San Narciso ,Victoria ,Oriental Mindoro,Southwestern Tagalog Region ,13.14368391,121.2438544,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,9-Feb-21
4B-21-310,2021,Tabinay ,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region ,13.39217641,120.8953101,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,10-Mar-21
4B-21-35,2021,Tabinay ,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region ,13.39217641,120.8953101,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,5-Mar-21
4B-21-412,2021,Sto Nino,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region ,13.39217641,120.8953101,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,12-Apr-21
4B-21-421,2021,Malapad,Baco,Oriental Mindoro,Southwestern Tagalog Region ,13.29039427,121.066837,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,14-Apr-21
4B-21-423,2021,Camilmil,Calapan City,Oriental Mindoro,Southwestern Tagalog Region ,13.33178512,121.1780294,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,23-Apr-21
4B-21-528,2021,Aninuan,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region ,13.39217641,120.8953101,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,28-May-21
4B-21622,2022,Mangangan,Baco,Oriental Mindoro,Southwestern Tagalog Region ,13.29039427,121.066837,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,16-Feb-22
4B-22-114,2022,Mayabig,Baco,Oriental Mindoro,Southwestern Tagalog Region ,13.29039427,121.066837,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,14-Jan-22
4B-22-13,2022,Teresita,Mansalay,Oriental Mindoro,Southwestern Tagalog Region ,12.54836969,121.3482134,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,22-Apr-22
4B-22-15,2022,San Isidro,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region ,13.39217641,120.8953101,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,5-Jan-22
4B-22-16,2022,Orcenuma,Bongabong,Oriental Mindoro,Southwestern Tagalog Region ,12.71623574,121.3862303,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,28-Apr-22
4B-22-17,2022,Narra,Gloria,Oriental Mindoro,Southwestern Tagalog Region ,12.92166054,121.3754507,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,8-May-22
4B-22-20,2022,Don Pedro,Mansalay,Oriental Mindoro,Southwestern Tagalog Region ,12.54836969,121.3482134,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,19-May-22
4B-22-21,2022,Panggulayan,Pinamalayan,Oriental Mindoro,Southwestern Tagalog Region ,13.02301767,121.4031803,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,31-May-22
4B-22-28,2022,Mangangan,Baco,Oriental Mindoro,Southwestern Tagalog Region ,13.29039427,121.066837,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,27-Jul-22
4B-22-30,2022,Bangkatan,Baco,Oriental Mindoro,Southwestern Tagalog Region ,13.29039427,121.066837,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,12-Aug-22
4B-22-31,2022,Bayanan,Pola,Oriental Mindoro,Southwestern Tagalog Region ,13.13990357,121.4449478,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,18-Aug-22
4B-22-35,2022,Bagumbayan,Roxas,Oriental Mindoro,Southwestern Tagalog Region ,12.61737051,121.4554967,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,25-Oct-22
4B-22-37,2022,San Isidro,Alcantara,Romblon,Southwestern Tagalog Region ,12.29784708,122.054934,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,1-Oct-22
4B-22-39,2022,San Isidro,Alcantara,Romblon,Southwestern Tagalog Region ,12.29784708,122.054934,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,21-Oct-22
4B-22-40,2022,Balugo,Mansalay,Oriental Mindoro,Southwestern Tagalog Region ,12.54836969,121.3482134,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,2-Dec-22
4B-22-41,2022,Dapawan,Odiongan,Romblon,Southwestern Tagalog Region ,12.39865996,122.0177701,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,24-Nov-22
4B-22-42,2022,Bonlao,Alcantara,Romblon,Southwestern Tagalog Region ,12.29784708,122.054934,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,26-Nov-22
4B-22-44,2022,Dapawan,Odiongan,Romblon,Southwestern Tagalog Region ,12.39865996,122.0177701,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,11-Dec-22
4B-22-45,2022,Concepcion Sur,Santa Maria,Romblon,Southwestern Tagalog Region ,12.40310216,122.0836566,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,12-Dec-22
4B-23-01,2023,Concepcion Norte,Santa Maria,Romblon,Southwestern Tagalog Region ,12.40310216,122.0836566,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,20-Jan-23
4B-23-02,2023,Dapawan,Odiongan,Romblon,Southwestern Tagalog Region ,12.39865996,122.0177701,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,13-Jan-23
4B-23-03,2023,Sugod,San Agustin,Romblon,Southwestern Tagalog Region ,12.55403552,122.1124048,Canis familiaris,N,Asian SEA4_A1.1,Asian SEA4_A1.1,Asian SEA4_A1.1,Asian SEA4_A1.1.2,22-Jan-23
4B-23-04,2023,Carmen,San Agustin,Romblon,Southwestern Tagalog Region ,12.55403552,122.1124048,Canis familiaris,N,Asian SEA4_A1.1,Asian SEA4_A1.1,Asian SEA4_A1.1,Asian SEA4_A1.1.2,31-Jan-23
4B-23-05,2023,Sugod,San Agustin,Romblon,Southwestern Tagalog Region ,12.55403552,122.1124048,Canis familiaris,N,Asian SEA4_E1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,20-Jan-23
4B-23-06,2023,Concepcion Norte,Santa Maria,Romblon,Southwestern Tagalog Region ,12.40310216,122.0836566,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,2-Feb-23
4B-23-07,2023,Concepcion Sur,Santa Maria,Romblon,Southwestern Tagalog Region ,12.40310216,122.0836566,Canis familiaris,N,Asian SEA4_E1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,7-Feb-23
4B-23-11,2023,Jun Carlo,San Andres,Romblon,Southwestern Tagalog Region ,12.53642104,122.0469478,Canis familiaris,N,Asian SEA4_E1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,7-Feb-23
4B-23-12,2023,Concepcion Norte,Santa Maria,Romblon,Southwestern Tagalog Region ,12.40310216,122.0836566,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,14-Feb-23
4B-23-13,2023,Rizal,Odiongan,Romblon,Southwestern Tagalog Region ,12.39865996,122.0177701,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,9-Feb-23
4B-23-15,2023,Poctoy,Odiongan,Romblon,Southwestern Tagalog Region ,12.39865996,122.0177701,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,16-Feb-23
4B-23-16,2023,Dapawan,Odiongan,Romblon,Southwestern Tagalog Region ,12.39865996,122.0177701,Canis familiaris,N,Asian SEA4_E1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,28-Feb-23
4B-23-17,2023,Poctoy,Odiongan,Romblon,Southwestern Tagalog Region ,12.39865996,122.0177701,Canis familiaris,N,Asian SEA4_E1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,1-Mar-23
4B-23-19,2023,Mahabang Baybay,San Agustin,Romblon,Southwestern Tagalog Region ,12.55403552,122.1124048,Canis familiaris,N,Asian SEA4_E1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,1-Mar-23
4B-2422,2022,Concepcion,Calintaan,Occidental Mindoro,Southwestern Tagalog Region ,12.59217706,121.082659,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,4-Feb-22
4B-2922HM,2022,Mangangan,Baco,Oriental Mindoro,Southwestern Tagalog Region ,13.29039427,121.066837,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,9-Feb-22
4B-2922JG,2022,Anilao,Bongabong,Oriental Mindoro,Southwestern Tagalog Region ,12.71623574,121.3862303,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,9-Feb-22
H-23-011Sk12,2023,Concepcion Sur,Santa Maria,Romblon,Southwestern Tagalog Region ,12.40310216,122.0836566,Homo sapiens,N,Asian SEA4_A1.1.2,Asian SEA4_B1,Asian SEA4_B1,Asian SEA4_B1,2-Feb-23
Z-14-033,2014,"Bagumbayan, Zone 4",Atimonan,Quezon,Calabarzon,13.98301338,121.8863992,Canis familiaris,N,Asian SEA4_C1.1,,Asian SEA4_,Asian SEA4_A1.2,7-Feb-14
Z-13-032,2013,Lower Bicutan,Taguig  ,Metropolitan Manila,National Capital Region,14.51469695,121.0660524,Canis familiaris,Y,Asian SEA4_A1.1,Asian SEA4_A1.1,Asian SEA4_A1.1,Asian SEA4_A1.1,14-Feb-13
R1-21-148,2021,Malibong,Urbiztondo,Pangasinan,Ilocos Region ,15.82353439,120.3636915,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.1.2,10-Apr-21
R10-688,2021,,Malaybalay City,Bukidnon,Northern Mindanao,8.160681669,125.1787735,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,2-Jul-21
R10-711,2021,Balulang,Cagayan de Oro City,Misamis Oriental,Northern Mindanao,8.409218588,124.6235169,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,12-Jul-21
R10-714,2021,Bonbon,Opol,Misamis Oriental ,Northern Mindanao,8.42897072,124.502868,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,11-Jul-21
R10-824,2021,Bulua,Cagayan de Oro City,Misamis Oriental,Northern Mindanao,8.409218588,124.6235169,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,9-Sep-21
R10-856,2021,-,Manticao,Misamis Oriental,Northern Mindanao,8.374138099,124.3486702,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,27-Sep-21
R10-907,2021,Gango,Libona,Bukidnon,Northern Mindanao,8.327601426,124.7570432,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,25-Oct-21
R10-920,2021,Agusan,Cagayan de Oro City,Misamis Oriental,Northern Mindanao,8.409218588,124.6235169,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,26-Oct-21
R10-989,2021,Barangay 1,Gingoog  City,Misamis Oriental,Northern Mindanao,8.776382452,125.0898786,Canis familiaris,N,Asian SEA4_B1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,25-Nov-21
R10-990,2021,Agay-Ayan,Gingoog  City,Misamis Oriental,Northern Mindanao,8.776382452,125.0898786,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,25-Nov-21
R11-21-61,2021,,Midsayap,Cotabato,Bangsamoro,7.136249451,124.5166062,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,11-Aug-21
R11-21-63,2021,,Tagum ,Davao Del Norte,Davao Region,7.434951203,125.7990149,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,4-Oct-21
R11-22-002,2022,Talomo,Davao City ,Davao Del Sur ,Davao Region,7.254430625,125.4144871,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,5-Jan-22
R2-081,2020,Ugac Norte,Tuguegarao  City,Cagayan,Cagayan Valley,17.60612446,121.7593619,Canis familiaris,N,,Asian SEA4_A1,Asian SEA4_A1.1,Asian SEA4_A1.1,31-Aug-20
R3-731,2021,Sangitan,Cabanatuan City,Nueva Ecija,Central Luzon,15.49243695,120.9899426,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,9-Dec-21
R5-22-09,2022,Bauud,Malilipot,Albay,Bicol Region,13.30206264,123.724162,Felis catus,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,7-Feb-22
R5-21-115,2021,Pob. III,Vinzons,Camarines Norte,Bicol Region,14.19277209,122.8889974,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,28-Sep-21
R5-21-119,2021,San Pedro,Irosin,Sorsogon,Bicol Region,12.71458793,124.0300037,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,15-Oct-21
R5-21-128,2021,Cararayan,Naga City,Camarines Sur,Bicol Region,13.64368803,123.2594656,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,9-Nov-21
R5-21-132,2021,Labnig,Malinao,Albay,Bicol Region,13.3845747,123.6522757,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,15-Nov-21
R5-21-136,2021,-,Libon,Albay,Bicol Region,13.24707931,123.3705704,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,2-Dec-21
R5-21-140,2021,Calang Calawan,Vinzons,Camarines Norte,Bicol Region,14.19277209,122.8889974,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,10-Dec-21
R5-22-008,2022,Sto. Cristo,Tabaco,Albay,Bicol Region,13.32537797,123.668741,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,2-Feb-22
R6-21-4375,2021,Labigan,Sara,Iloilo,Western Visayas,11.29863894,122.9983924,Canis familiaris,N,Asian SEA4_B1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,1-Oct-21
R6-21-4511,2021,San Isidro,Tibiao,Antique,Western Visayas,11.31177392,122.0839795,Canis familiaris,N,Asian SEA4_C1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,8-Oct-21
R6-21-4600,2021,Jibao-An,Pavia,Iloilo,Western Visayas,10.76834195,122.5361294,Canis familiaris,N,Asian SEA4_B1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,14-Oct-21
R6-4342,2021,Cabanban,Oton,Iloilo,Western Visayas,10.72535873,122.4673796,Bos taurus,N,Asian SEA4_B1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,30-Sep-21
R6-4568,2021,Avila,Buenavista,Guimaras,Western Visayas,10.69136331,122.6621626,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,13-Oct-21
R7-21-161,2021,Pusok,Lapu-Lapu City,Cebu,Central Visayas,10.29788925,123.9784138,Canis familiaris,N,Asian SEA4_D1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,18-Oct-21
R9-010,2020,San Roque,Zamboanga City ,Zamboanga Del Sur,Zamboanga Peninsula ,7.154200895,122.139348,Felis catus,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,27-Jan-20
R9-074,2021,Cogon,Vincenzo A. Sagun,Zamboanga Del Sur,Zamboanga Peninsula ,7.519657705,123.1738437,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,20-Aug-21
R9-089,2021,Pangi,Ipil,Zamboanga Sibugay,Zamboanga Peninsula ,7.780235248,122.5765115,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,7-Oct-21
R9-105,2021,Lopoc,Labason,Zamboanga Del Norte,Zamboanga Peninsula ,8.030135135,122.5303567,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,9-Dec-21
RADDL1-16-153,2016,Real,Urbiztondo,Pangasinan,Ilocos Region ,15.82353439,120.3636915,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,18-Jul-16
RADDL1-16-166,2016,West,unknown,Pangasinan,Ilocos Region ,15.99415023,120.3184423,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,9-Aug-16
RADDL3-1045,2015,St. Francis ,Limay,Bataan,Central Luzon,14.53878982,120.5544428,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,23-Oct-15
RADDL3-15-172,2015,Cvo,San Jose  City,Nueva Ecija,Central Luzon,15.78462183,120.9975839,Canis familiaris,N,Asian SEA4_C1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,12-Feb-15
RADDL3-16-1008,2016,Pamaldan,Cabanatuan City,Nueva Ecija,Central Luzon,15.49243695,120.9899426,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,27-Oct-16
RADDL3-16-468,2016,Sta Teresita,Angeles  City,Pampanga,Central Luzon,15.14555779,120.5862479,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,1-Jun-16
RADDL3-16-521,2016,Bulihan,Malolos City,Bulacan,Central Luzon,14.82958643,120.8367451,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,15-Jun-16
RADDL3-16-627,2016,Ligas,Malolos City,Bulacan,Central Luzon,14.82958643,120.8367451,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,27-Jul-16
RADDL3-845,2015,San Jose,Floridablanca,Pampanga,Central Luzon,14.98771276,120.4868625,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,2-Sep-15
RADDL5-005,2015,San Nicolas,Iriga  City,Camarines Sur,Bicol Region,13.44838237,123.4332975,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,30-Jan-15
Z-04-664,2004,Lower Bicutan,Taguig,Metropolitan Manila,National Capital Region,14.51469695,121.0660524,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,15-Dec-04
Z-05-102,2005,,Muntinlupa  ,Metropolitan Manila,National Capital Region,14.40197636,121.0327847,Canis familiaris,N,Asian SEA4_A1.1,Asian SEA4_A1.1,Asian SEA4_B1,Asian SEA4_B1.1,21-Feb-05
Z-05-191,2005,Lower Bicutan,Taguig,Metropolitan Manila,National Capital Region,14.51469695,121.0660524,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,10-Apr-05
Z-05-557,2005,Rizal,Makati City,Metropolitan Manila,National Capital Region,14.54943127,121.0335906,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_B1,Asian SEA4_B1.1,3-Dec-05
Z-05-96,2005,Maywood Sucat,Parañaque,Metropolitan Manila,National Capital Region,14.48357034,121.0147858,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,17-Feb-05
Z-06-150,2006,Balete,Batangas  City,Batangas,Calabarzon,13.7207195,121.103796,Canis familiaris,N,Asian SEA4_A1,Asian SEA4_A1,Asian SEA4_A1,Asian SEA4_A1,24-Apr-06
